id	tweet	subtask_a	subtask_b	subtask_c
94767	@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	NOT		
64835	@USER Kind of like what trump does all the time huh?	NOT		
41353	@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	NOT		
18495	@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce	NOT		
76680	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	NOT		
88013	@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	NOT		
16052	@USER she is idk what's going on	NOT		
49996	@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	NOT		
77086	@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	NOT		
10972	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.	NOT		
69160	@USER The laughs I’ve gotten from you are enough. 😌	NOT		
28380	@USER @USER @USER well?	NOT		
40252	@USER @USER @USER First of all— they don’t even have pizza at Panera	NOT		
16164	@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.	NOT		
52824	@USER Good girl @USER	NOT		
13420	@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	NOT		
83816	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.	NOT		
99156	#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	NOT		
11255	"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity."""""	NOT		
79060	@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.	NOT		
71682	@USER Good riddance.	NOT		
17577	@USER She is a goddess	NOT		
27503	"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead"""""	NOT		
81119	@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	NOT		
84131	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	NOT		
23179	@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.	NOT		
28601	@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	NOT		
95712	@USER Do they discuss Haiti?	NOT		
37115	@USER He is very skilled😂😂	NOT		
80696	@USER You are amazing 💛💛💛	NOT		
68163	@USER Fist pump was for the troops.	NOT		
66109	@USER I thought Canada had strict gun control.  Help me understand what is happening.	NOT		
19419	@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias	NOT		
32942	@USER He is doing life tho😑	NOT		
74285	@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP	NOT		
30517	@USER @USER @USER Have you seen or listened to your ANTIFA pals?	NOT		
69077	@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.	NOT		
67758	@USER Your titles scare me a little bit. ;-)	NOT		
35944	@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck	NOT		
48223	@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli	NOT		
47168	@USER And who seems to be getting things done.	NOT		
53947	I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2)	NOT		
66291	@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.	NOT		
75850	@USER Yo for real you are gorgeous	NOT		
29241	@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄	NOT		
19842	@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.	NOT		
69232	@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.	NOT		
36471	@USER @USER Doesn't he partly fund Antifa?	NOT		
51172	@USER @USER O.K. Conservatives get to the polls. Vote red.	NOT		
71895	"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot"""	NOT		
78366	@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.	NOT		
96837	@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.	NOT		
51815	@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.	NOT		
62023	"@USER   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA""! URL"	NOT		
10253	@USER @USER you are awesome! Thank you. You give humanity hope!	NOT		
21367	@USER GOOBER	NOT		
33797	@USER Another uninformed	NOT		
11160	@USER I forgot he is their foster child!	NOT		
47427	@USER No fucking way he said this!	NOT		
87052	@USER @USER Such supposedly smart people didn't think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way.	NOT		
29556	@USER I'm not surprised. It takes a sick woman to make this type of accusations. The kind you can only find on the far left. Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support.	NOT		
32688	@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense	NOT		
57850	"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)"""	NOT		
98077	@USER @USER @USER @USER @USER You get more like this guy with every hysterical tweet URL	NOT		
62815	@USER He always shows dedication at what he does no wonder he is the best URL	NOT		
30791	@USER Reagan also signed the first gun control bill as governor of CA	NOT		
80385	@USER Awe Hogwash do we really need you to overstate the obvious?	NOT		
54292	30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL	NOT		
52375	"(1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of school shootings.""  (3) Who buys .22 caliber handguns? Why? URL"	NOT		
64577	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! #MAGA 🇺🇸😀💕🇺🇸 DEAN !  @USER URL	NOT		
44448	@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.	NOT		
53928	@USER You are not alone. I was sexually assaulted by a fellow law student in 1978. I never reported it because I didn't think I would be believed. However something happened that made me realize I wasn't his only victim. Then I felt I'd made a colossal mistake.	NOT		
45337	@USER But Liberals do.	NOT		
85707	@USER Another terrorist attack not reported by msm	NOT		
63292	@USER dont know who you are so imma just URL	NOT		
25009	@USER Yes!! He is from Gilmer!! It makes me laugh so much!	NOT		
90990	@USER U both r my lifeline❤🙏😂 @USER	NOT		
65785	@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!	NOT		
94182	@USER @USER Unfortunately you're right. Keep it real.  SHE is the assault weapon!	NOT		
77653	@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	NOT		
27238	@USER Thank you to everyone for making this possible you are amazing and so are the beautiful bears. I'm a member of Olivers Army and I appreciate everything you do to make lives better.	NOT		
12892	@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her	NOT		
46581	@USER Yes she is	NOT		
41517	@USER @USER @USER He tried this before and it went nowhere. He's 100% pro gun control. Done.	NOT		
22717	@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.	NOT		
88539	"@USER @USER Aha yes, I see that. The individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not."""	NOT		
65786	@USER @USER Oh no I know why that I just don't know what she is talking about because I don't see a tweet she is repling too lol	NOT		
54437	@USER And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.	NOT		
57943	@USER You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.	NOT		
66328	@USER @USER This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. That simple fact of life breaks their brains.	NOT		
44837	@USER @USER SOROS is at the root of everything and anything anti American. He has his money in Hollywood all the way to Islam and ANTIFA to illegals . URL	NOT		
43185	@USER @USER Brigitte Gabriel has experienced a life that most would have nightmares from. She is sounding the alarm for Americans. Buy her book pay attention to what she is warning America about	NOT		
67080	@USER @USER Poor baby.	NOT		
96270	@USER @USER @USER @USER Antifa = Democrats = Dixiecrats = KKK URL URL	NOT		
48060	"@USER @USER @USER And don't forget his telling a primarily black liberal audience conservatives want to put them back in chains"""""	NOT		
31065	@USER Sad for both!!! To be exploited and also to have a reputation destroyed! Now I’ve read she’s  part of Antifa! ????!	NOT		
22128	@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL	NOT		
36518	@USER Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL	NOT		
59559	@USER @USER @USER There all gone tho and Inputed them from bottom to top with the first 20seconds of your tweet ! You good 1 Tmart 👍🏻	NOT		
99618	"@USER @USER Exactly. He is on record basically saying the President is above the law."" It should be noted that the #gop is fine with this. Rudy has his own issues. URL"	NOT		
53309	#KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded ‘Unprecedented’ Armed Protection for Gun Control Sen. Kamala Harris URL via @USER	NOT		
84329	@USER @USER There was plenty of evidence that he was guilty of what Hill accused him of but since conf hearings aren't about guilty/innocence got on the bench. Times are diff now. Why as a journalist you don't call out white supremacy/alt-right but Antifa and pick on @USER	NOT		
50315	@USER @USER You don’t understand who he is and is capablities. Despite the proof in the economy.  My hypothesis is that you have been lied to by liberals your entire life and are believing what you are told. The liberal media made bill Clinton look good and could do the same with trump.	NOT		
97959	..oath must be subpoenaed to testify. There is a lifetime appointment at stake here. Please do it right this time &amp; do not allow  Orrin Hatch who has already made up his mind she is lying be allowed to question her. His kind of questions could invite a lawsuit.	NOT		
66524	@USER @USER Y’all are the best	NOT		
12919	@USER Indeed he is.	NOT		
40855	@USER @USER @USER Because i'm a little concerned about the Q followers because they slowly become more and more a sort of right wing sjw antifa thingie  (Also excuse me for my horrible English it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks. 😅)	NOT		
84100	@USER Yep Antifa are literally Hitler.	NOT		
21270	@USER Wow you are so hot 😍😍😍😍😗😗😗😗😗	NOT		
41818	@USER she is the most deserving woman to be happy !!	NOT		
12435	@USER @USER @USER @USER I've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.	NOT		
82579	@USER @USER That's just modelling. Plenty of women make shit tons of money just for looking good	NOT		
84523	Just watching a Horizon show  about scientists that discovered a DNA mix between humans and Neanderthals.Would have thought Trump getting elected would have been proof enough. #MAGA	NOT		
61917	@USER @USER I hope there is a way to watch it on TV.  Ted spanking liberals is always enjoyable.	NOT		
79251	@USER He should look in a mirror!	NOT		
42540	@USER I’m sure he is. 💜	NOT		
13881	@USER @USER Send him this @USER party #manifesto where they promised they will help families maybe that will remind him his duties. #HostileEnvironment #PriceOnLove #SkypeFamilies @USER @USER @USER URL	NOT		
70402	"@USER @USER @USER @USER Families being separated at the border. In fact, the picture of children in cages that Liberals were using to show how evil"" Trump is was actually taken while OBAMA was President"""	NOT		
83462	@USER @USER But antifa is her people	NOT		
87206	@USER @USER We had a Peoples Vote on 23 June 2016. The people rejected the craven @USER worship which you stand for - by a majority of over 1m. You’re contemptuously defying the will of the people &amp; @USER 2017 GE manifesto &amp; supporting Soros in undermining democracy instead	NOT		
54125	@USER she is free as a bird to return to her Muslim homeland	NOT		
75848	*mom speaks into her phone to compose a text for my brother* she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling 🤦🏻‍♀️	NOT		
14948	@USER @USER Melting snow flakes	NOT		
66798	@USER Who’s the victim? That remains to be seen. Liberals have turned Kavanaughs hearings into a circus from the first minute it started.	NOT		
38561	@USER @USER You're shocked to hear that liberals want to centralize power at the federal level?	NOT		
55203	@USER @USER HE IS BEST OF THE BEST!😍😍	NOT		
31776	#WhatILearnedToday liberals can’t win without lying	NOT		
60916	@USER Fast and Furious Holder lol	NOT		
63113	@USER is one of the only shows that are a Progressive that I can stand to watch. He dislikes the right and left evenly and you know who he is right from the start. If you've never seen his show check it out on YouTube. Insightful ❤🇺🇸 #MAGA	NOT		
59721	@USER He is NOT Supreme Court worthy	NOT		
53839	@USER God I hope not! URL	NOT		
15616	@USER @USER @USER Yes he is	NOT		
65790	+++ I can't prove causation either but while the CONservatives in CDA surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬@USER bashing PM @USER can't help but think they're also egging the former to continue the bashing to boost their fortune(s) vainly. URL	NOT		
48548	@USER 2 Republican Men in a picture 85 and 84 what are men of that age are Law Makers too old no sorry young Republicans are like young Conservatives they are all born at 40 years of age	NOT		
83751	@USER @USER @USER Liberals can’t meme. They have no sense of humor or knowledge of meme-ing philosophy.	NOT		
62541	@USER @USER any she is stunning	NOT		
18474	"@USER Why the focus on the Proud Boys? I know you're not a real journalist, Kelly, but why not focus on the ones doing all of the violence? #ANTIFA  If you want a story; focus on why journalists"" (leftist activists) are constantly ignoring Antifa's attacks on people."""	NOT		
22879	@USER @USER @USER @USER It’s called educating liberals.	NOT		
26694	@USER @USER IF YOU WONNA GET PAID...Pick up the energy people!!!! Scream and shout like you’re at the  #Kavanaugh hearing! URL	NOT		
34961	@USER @USER @USER @USER @USER @USER @USER @USER Trash	NOT		
25012	@USER @USER @USER She is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism 😀😀😀😀	NOT		
19121	@USER Shouldve played saint marie instead of london docks. Saint was ass for me 👌	NOT		
61272	@USER Thank goodness he is not MN passive aggressive. Love it!!	NOT		
25360	@USER @USER We can empty all our prisons also and just say they broke no laws.....Liberal logic.	NOT		
56949	@USER @USER She is an angel! Much love to her!	NOT		
34893	@USER @USER For what? Why are you asking for his arrest?  Liberals being butthurt for 19 months is not an impeachable offense.	NOT		
90958	@USER @USER The tolerant Left	NOT		
12741	@USER @USER @USER @USER Show me a single case where antifa have actually murdered someone.  Because the far right murdered someone at Charlottesville 🤷  Hypocrisy works both ways.	NOT		
42528	@USER If bobby is fit thats exactly what i would say but not sure if he is or not	NOT		
29300	"@USER The only white people that thank Jesus are Republicans &amp; ex-crackheads"" - so say America-hating liberals about Christians. Many ex-Dems thank Jesus too- &amp; many former Emmys watchers. We thank Jesus DAILY for our country, our @USER &amp; the ability to TURN YOU OFF! @USER"	NOT		
14850	@USER Does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sports casters?  How many TD receptions skip have this year?	NOT		
40340	@USER @USER @USER @USER She is just feeling his touch first time😍😍😍😍😍😍	NOT		
14037	@USER @USER @USER You are grossly misinterpreting who is against this. People across all parties condemn this action. Look no further than Bill Davis and Brian Mulroney to see that even conservatives think this is a horrible decision.	NOT		
90912	@USER Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟	NOT		
61448	@USER He is all grown up😭😭😭	NOT		
23853	#Health &amp; #Nature under threat from #UK #US @USER URL	NOT		
58454	@USER @USER Why didn't Kavanaugh need terms? Guilty people: those are the ones that need terms.  Let me clue you in: they're worried that she is going to make a terrible impression and will not be believable. They're trying to manage that concern.	NOT		
63262	@USER @USER @USER don’t perpetuate colonialism. If you are going to talk about #puertorico you must have Puerto Ricans in the panel! Jeezuz.fucking.christ! How difficult can that be? #diásporaenresistencia URL	NOT		
13136	An Anonymous message to #Antifa #Q #QAnon #TheGreatAwakening #CommieClowns #ResistanceRises #Resistance URL	NOT		
74670	@USER Antifa has no place in society!	NOT		
45111	@USER @USER has two votes in our home!  West Texas is stoked about him!  He is inspiring!  He can do this!	NOT		
11405	@USER Grape!	NOT		
90605	@USER HELLO SOMEBODY NEED HYUKJAE NOW SHE IS IN DANGER BY WATCHING YOUR FANCAMS	NOT		
28728	@USER He never did show much intelligence.	NOT		
80430	@USER Are you sure she was't just thinking about herself.	NOT		
68007	@USER URL It's a guy. Guy looks like a Sheila. #QANON #MAGA #GREATAWAKENING -Crocodile Dundee URL	NOT		
88809	@USER @USER @USER Here's the problem...if you go back to Fast and Furious you have proof that the ATF was looking to influence gun control in the US. It may be preposterous that the government would fake Sandy Hook isn't facilitating a drug war somewhat similar?	NOT		
15863	@USER Oh dear. I’m so sorry you are having migraine. I have them as well. Sending up prayers for you. ❤️😊🌹	NOT		
11918	"@USER My sister by far. She is the kindest, sweetest person alive. Use to be my grandma but she passed in May. That woman was a saint. Even had a song written about her, My mom's a saint"". Written by her children of course. URL"	NOT		
87904	@USER What would this line putz know about what conservatives think?	NOT		
19732	@USER Dude.. Why r u trolling Ash rock z? 😁.. He is our guy.. Just in a hurry to see bjp govt in state.	NOT		
52972	@USER @USER She’s said before that she will always be praying for him even tho she can’t do anything. I’m sure she is heart broken as well at the events	NOT		
20800	@USER @USER @USER Which one is it? Is there an active threat that you could be shot that is driving the need for gun control?  Or is the idea that the threat exists hypothetical so I have an excuse to carry a big scary gun?	NOT		
39866	@USER Get a life!	NOT		
18348	@USER Containers of Hurricane Donations Found Rotting in Puerto Rico Parking Lot URL	NOT		
